city,book_table,name
BTM,No,4915
BTM,Yes,167
Banashankari,No,839
Banashankari,Yes,63
Banaswadi,No,643
Banaswadi,Yes,8
Bannerghatta Road,No,1523
Bannerghatta Road,Yes,99
Basavanagudi,No,668
Basavanagudi,Yes,16
Bellandur,No,1170
Bellandur,Yes,98
Brigade Road,No,1034
Brigade Road,Yes,176
Brookefield,No,584
Brookefield,Yes,74
Church Street,No,385
Church Street,Yes,181
Commercial Street,No,370
Cunningham Road,No,315
Cunningham Road,Yes,175
Domlur,No,441
Domlur,Yes,55
Ejipura,No,438
Electronic City,No,1149
Electronic City,Yes,98
Frazer Town,No,712
Frazer Town,Yes,8
HSR,No,2292
HSR,Yes,217
Indiranagar,No,1620
Indiranagar,Yes,448
JP Nagar,No,1906
JP Nagar,Yes,315
Jayanagar,No,1645
Jayanagar,Yes,279
Kalyan Nagar,No,695
Kalyan Nagar,Yes,149
Kammanahalli,No,593
Kammanahalli,Yes,49
Koramangala 1st Block,No,1187
Koramangala 1st Block,Yes,50
Koramangala 4th Block,No,695
Koramangala 4th Block,Yes,322
Koramangala 5th Block,No,1810
Koramangala 5th Block,Yes,692
Koramangala 6th Block,No,1027
Koramangala 6th Block,Yes,112
Koramangala 7th Block,No,1017
Koramangala 7th Block,Yes,162
Koramangala 8th Block,No,295
Koramangala 8th Block,Yes,17
Lavelle Road,No,296
Lavelle Road,Yes,228
MG Road,No,570
MG Road,Yes,347
Malleshwaram,No,633
Malleshwaram,Yes,89
Marathahalli,No,1659
Marathahalli,Yes,163
New BEL Road,No,590
New BEL Road,Yes,56
Old Airport Road,No,381
Old Airport Road,Yes,59
Others,No,4328
Others,Yes,350
Rajajinagar,No,550
Rajajinagar,Yes,41
Residency Road,No,523
Residency Road,Yes,149
Richmond Road,No,695
Richmond Road,Yes,116
Sarjapur Road,No,901
Sarjapur Road,Yes,154
Shanti Nagar,No,451
Shanti Nagar,Yes,57
Shivajinagar,No,475
Shivajinagar,Yes,23
St. Marks Road,No,219
St. Marks Road,Yes,124
Ulsoor,No,840
Ulsoor,Yes,177
Whitefield,No,1863
Whitefield,Yes,253
